product_id,attibutename,attributevalue
268365716,blouse_color,Blue
268253306,blouse_color,Not Available
268410945,blouse_color,Not Available
268399798,blouse_color,Black
268502133,blouse_color,Maroon
268434136,blouse_color,Red
268141859,blouse_color,Not Available
268366536,blouse_color,Pink
268568033,blouse_color,Blue
268355790,blouse_color,Not Available
268597973,blouse_color,White
268324030,blouse_color,Not Available
268544611,blouse_color,Black
268392275,blouse_color,Pink
268527787,blouse_color,White
268253948,blouse_color,Not Available
268356425,blouse_color,Blue
268288163,blouse_color,Blue
268405960,blouse_color,Green
268024219,blouse_color,Not Available
268424232,blouse_color,Pink
268539429,blouse_color,Black
268556034,blouse_color,Black
268492348,blouse_color,Not Available
268381991,blouse_color,Multicolor
268522185,blouse_color,Not Available
268384972,blouse_color,Green
268426832,blouse_color,Green
268540635,blouse_color,Not Available
268145266,blouse_color,Maroon
268264288,blouse_color,Pink
268402619,blouse_color,Pink
268419924,blouse_color,Multicolor
268415979,blouse_color,Multicolor
268408476,blouse_color,Multicolor
268484208,blouse_color,Not Available
268544615,blouse_color,White
268605700,blouse_color,Not Available
268382589,blouse_color,Not Available
268462736,blouse_color,Green
268289938,blouse_color,Navy Blue
268433325,blouse_color,White
268488616,blouse_color,Not Available
268426076,blouse_color,White
268398621,blouse_color,Green
268285732,blouse_color,Not Available
268382599,blouse_color,Navy Blue
268381171,blouse_color,Not Available
268545329,blouse_color,Black
268393699,blouse_color,Green
268435688,blouse_color,Red
